Vardas Pavardė ND1 ND2 ND3 ND4 ND5 ND6 ND7 ND8 ND9 ND10 Egz.
Vardas1218 Pavardė1218 9 8 10 10 8 5 1 8 8 6 1
Vardas1219 Pavardė1219 6 9 8 8 9 2 5 2 8 2 6
Vardas1220 Pavardė1220 2 6 3 4 10 2 7 2 6 9 7
Vardas1221 Pavardė1221 5 9 1 3 9 10 5 1 6 1 1
Vardas1222 Pavardė1222 5 2 7 5 6 1 6 2 2 10 3
Vardas1223 Pavardė1223 2 8 3 5 9 5 2 3 1 1 5
Vardas1224 Pavardė1224 3 1 7 7 10 6 10 4 8 1 10
Vardas1225 Pavardė1225 5 8 5 5 1 10 3 1 2 10 10
Vardas1226 Pavardė1226 3 2 7 5 10 8 8 4 2 3 4
Vardas1227 Pavardė1227 9 5 1 6 7 9 10 1 8 5 8
Vardas1228 Pavardė1228 6 2 10 3 9 8 10 3 5 4 3
Vardas1229 Pavardė1229 2 8 2 6 7 8 10 7 8 6 9
Vardas1230 Pavardė1230 9 8 8 5 5 4 8 8 1 4 3
Vardas1231 Pavardė1231 2 3 3 9 9 4 2 1 1 7 1
Vardas1232 Pavardė1232 9 6 10 9 10 4 7 2 1 7 1
Vardas1233 Pavardė1233 3 3 9 4 4 10 2 2 9 6 1
Vardas1234 Pavardė1234 7 5 10 6 2 3 6 2 4 10 2
Vardas1235 Pavardė1235 10 3 1 8 5 10 4 9 5 2 8
Vardas1236 Pavardė1236 6 4 3 7 9 8 1 6 7 6 5
Vardas1237 Pavardė1237 1 1 8 3 4 6 5 1 10 7 9
Vardas1238 Pavardė1238 2 3 2 3 8 9 7 2 1 6 7
Vardas1239 Pavardė1239 10 2 6 8 7 1 4 1 1 2 9
Vardas1240 Pavardė1240 1 9 1 4 9 6 1 7 4 7 10
Vardas1241 Pavardė1241 10 10 8 10 7 10 3 7 4 2 5
Vardas1242 Pavardė1242 6 6 1 7 7 2 1 4 1 9 6
Vardas1243 Pavardė1243 9 9 8 5 9 3 7 7 2 9 9
Vardas1244 Pavardė1244 8 6 10 4 8 6 9 8 6 6 6
Vardas1245 Pavardė1245 1 6 2 6 4 9 2 3 4 9 9
Vardas1246 Pavardė1246 10 5 8 9 9 3 2 5 8 10 8
Vardas1247 Pavardė1247 8 3 7 6 7 1 1 6 1 3 3
Vardas1248 Pavardė1248 2 7 3 6 10 5 9 7 6 2 5
Vardas1249 Pavardė1249 10 1 1 2 10 3 6 8 5 4 3
Vardas1250 Pavardė1250 10 6 4 4 1 8 4 6 6 5 7
Vardas1251 Pavardė1251 10 5 7 10 4 7 1 7 2 1 9
Vardas1252 Pavardė1252 4 10 1 1 10 9 8 9 3 5 2
Vardas1253 Pavardė1253 9 2 10 6 7 9 2 9 10 10 7
Vardas1254 Pavardė1254 1 10 6 3 10 4 6 7 5 8 10
Vardas1255 Pavardė1255 9 3 8 1 4 5 2 3 10 10 6
Vardas1256 Pavardė1256 4 10 8 7 1 3 3 8 9 3 8
Vardas1257 Pavardė1257 7 6 6 1 10 9 5 10 2 6 8
Vardas1258 Pavardė1258 1 1 1 10 8 2 6 2 8 10 2
Vardas1259 Pavardė1259 7 8 8 8 10 8 10 5 5 6 7
Vardas1260 Pavardė1260 1 6 9 4 4 6 6 2 6 1 2
Vardas1261 Pavardė1261 8 6 2 2 5 10 10 9 5 2 2
Vardas1262 Pavardė1262 3 1 4 9 1 9 4 3 6 9 4
Vardas1263 Pavardė1263 9 9 1 10 2 8 8 8 2 7 1
Vardas1264 Pavardė1264 6 2 4 6 9 8 5 4 3 10 2
Vardas1265 Pavardė1265 1 5 4 10 3 6 1 7 7 8 5
Vardas1266 Pavardė1266 8 8 5 3 4 9 2 3 8 8 3
Vardas1267 Pavardė1267 2 7 8 7 6 9 4 1 6 4 2
Vardas1268 Pavardė1268 9 10 2 9 7 9 10 6 8 9 9
Vardas1269 Pavardė1269 5 2 7 8 6 2 7 10 9 9 6
Vardas1270 Pavardė1270 5 7 2 5 3 2 9 3 1 5 8
Vardas1271 Pavardė1271 9 8 4 7 5 10 5 10 9 5 4
Vardas1272 Pavardė1272 8 2 5 7 5 3 7 8 7 7 9
Vardas1273 Pavardė1273 3 8 10 8 2 6 6 10 8 3 1
Vardas1274 Pavardė1274 6 6 3 6 6 6 3 9 9 1 1
Vardas1275 Pavardė1275 2 4 8 7 8 6 7 10 8 4 2
Vardas1276 Pavardė1276 8 3 1 6 6 1 9 4 6 3 9
Vardas1277 Pavardė1277 10 5 3 3 2 9 2 3 6 5 2
Vardas1278 Pavardė1278 2 2 7 10 1 9 2 5 7 4 10
Vardas1279 Pavardė1279 4 2 4 5 2 4 10 2 1 5 3
Vardas1280 Pavardė1280 8 2 9 1 5 8 4 9 2 7 8
Vardas1281 Pavardė1281 3 7 9 9 3 4 8 9 3 8 3
Vardas1282 Pavardė1282 6 6 10 5 2 4 10 1 9 1 8
Vardas1283 Pavardė1283 7 5 2 7 8 5 7 8 3 4 7
Vardas1284 Pavardė1284 8 10 9 2 2 7 7 7 4 8 1
Vardas1285 Pavardė1285 4 6 5 8 7 6 8 5 6 8 4
Vardas1286 Pavardė1286 6 8 10 2 1 3 8 6 6 4 4
Vardas1287 Pavardė1287 4 9 4 4 2 4 2 4 3 2 5
Vardas1288 Pavardė1288 7 9 3 6 10 1 2 1 4 4 3
Vardas1289 Pavardė1289 7 9 4 3 10 9 3 6 5 2 2
Vardas1290 Pavardė1290 6 3 4 2 2 2 4 6 7 8 10
Vardas1291 Pavardė1291 5 2 5 10 4 7 5 10 8 7 2
Vardas1292 Pavardė1292 2 5 7 8 3 10 7 6 6 2 2
Vardas1293 Pavardė1293 2 6 10 8 1 6 9 5 4 1 9
Vardas1294 Pavardė1294 7 5 4 7 7 9 6 6 1 7 6
Vardas1295 Pavardė1295 7 6 6 1 5 1 8 5 2 5 4
Vardas1296 Pavardė1296 10 2 8 7 5 8 1 7 10 7 10
Vardas1297 Pavardė1297 9 3 4 5 2 3 10 2 7 5 3
Vardas1298 Pavardė1298 8 9 3 5 8 8 1 4 10 8 1
Vardas1299 Pavardė1299 6 6 10 7 9 4 3 9 6 8 5
Vardas1300 Pavardė1300 1 7 9 2 7 10 2 7 2 5 4
Vardas1301 Pavardė1301 1 3 6 8 1 3 8 3 1 9 7
Vardas1302 Pavardė1302 3 1 1 5 9 7 8 5 3 4 10
Vardas1303 Pavardė1303 10 6 5 5 7 4 8 7 7 10 2
Vardas1304 Pavardė1304 1 8 10 3 5 8 2 5 5 3 6
Vardas1305 Pavardė1305 1 5 3 4 6 3 3 2 7 4 7
Vardas1306 Pavardė1306 2 4 2 7 8 10 7 4 5 3 9
Vardas1307 Pavardė1307 8 10 4 2 10 1 4 4 10 1 3
Vardas1308 Pavardė1308 4 1 8 1 10 7 4 10 7 9 8
Vardas1309 Pavardė1309 4 10 8 9 1 1 6 10 1 10 6
Vardas1310 Pavardė1310 7 6 1 9 9 9 4 5 10 3 6
Vardas1311 Pavardė1311 3 7 5 3 6 2 3 9 3 4 7
Vardas1312 Pavardė1312 1 3 1 7 8 3 8 10 2 9 5
Vardas1313 Pavardė1313 3 7 2 10 7 9 6 4 1 2 6
Vardas1314 Pavardė1314 2 4 5 1 3 7 4 10 7 8 1
Vardas1315 Pavardė1315 5 9 10 3 2 4 3 6 7 1 5
Vardas1316 Pavardė1316 1 9 9 4 9 10 9 10 10 8 5
Vardas1317 Pavardė1317 8 2 7 3 5 8 10 10 6 2 10
Vardas1318 Pavardė1318 6 2 2 5 2 1 9 10 6 9 5
Vardas1319 Pavardė1319 4 2 4 6 9 6 5 3 7 5 8
Vardas1320 Pavardė1320 9 7 3 5 5 2 9 7 5 8 4
Vardas1321 Pavardė1321 10 10 10 3 1 3 7 7 2 10 6
Vardas1322 Pavardė1322 2 10 3 9 7 1 7 10 3 9 7
Vardas1323 Pavardė1323 1 7 6 8 8 7 8 5 6 4 3
Vardas1324 Pavardė1324 7 10 7 1 6 10 3 9 10 3 4
Vardas1325 Pavardė1325 10 8 9 10 2 7 5 7 9 5 9
Vardas1326 Pavardė1326 7 1 1 6 2 1 6 4 4 6 3
Vardas1327 Pavardė1327 5 8 3 6 7 5 8 1 3 7 8
Vardas1328 Pavardė1328 4 9 10 8 9 2 3 9 2 1 2
Vardas1329 Pavardė1329 5 10 9 1 9 5 2 7 9 3 2
Vardas1330 Pavardė1330 9 10 3 9 6 10 9 5 2 6 1
Vardas1331 Pavardė1331 7 2 1 3 6 8 10 4 6 5 8
Vardas1332 Pavardė1332 5 9 4 9 2 10 9 2 10 1 7
Vardas1333 Pavardė1333 1 8 8 2 1 6 9 6 1 2 4
Vardas1334 Pavardė1334 6 3 9 9 8 10 4 9 9 8 4
Vardas1335 Pavardė1335 4 6 9 7 3 7 6 3 4 3 5
Vardas1336 Pavardė1336 3 6 4 10 8 1 2 6 7 10 4
Vardas1337 Pavardė1337 2 9 8 6 7 9 8 9 2 7 10
Vardas1338 Pavardė1338 8 2 8 9 8 4 5 10 8 4 3
Vardas1339 Pavardė1339 4 9 6 9 4 10 7 5 7 9 8
Vardas1340 Pavardė1340 5 7 9 2 7 7 7 3 8 4 1
Vardas1341 Pavardė1341 1 3 4 9 3 10 7 2 3 4 1
Vardas1342 Pavardė1342 2 9 3 6 3 3 6 4 1 1 5
Vardas1343 Pavardė1343 10 6 10 5 10 1 4 4 5 4 6
Vardas1344 Pavardė1344 3 10 3 9 4 10 7 5 5 5 10
Vardas1345 Pavardė1345 10 3 6 2 7 5 3 7 9 4 2
Vardas1346 Pavardė1346 10 10 7 4 6 3 3 1 9 7 6
Vardas1347 Pavardė1347 7 2 5 6 1 1 4 2 6 6 3
Vardas1348 Pavardė1348 7 8 2 1 6 3 6 1 10 3 4
Vardas1349 Pavardė1349 7 3 6 4 1 10 8 9 6 7 2
Vardas1350 Pavardė1350 3 8 2 2 9 8 9 6 5 3 4
Vardas1351 Pavardė1351 10 10 4 4 1 5 4 1 1 5 9
Vardas1352 Pavardė1352 10 1 2 1 9 8 6 10 1 8 2
Vardas1353 Pavardė1353 2 3 10 1 4 7 9 1 3 1 5
Vardas1354 Pavardė1354 5 4 9 4 1 5 1 9 2 10 8
Vardas1355 Pavardė1355 6 9 7 5 4 6 9 4 6 7 8
Vardas1356 Pavardė1356 4 7 3 1 10 9 3 9 10 1 6
Vardas1357 Pavardė1357 8 7 8 10 10 2 8 7 9 10 10
Vardas1358 Pavardė1358 8 7 5 1 10 9 10 2 9 10 6
Vardas1359 Pavardė1359 5 1 9 3 8 3 2 5 5 1 5
Vardas1360 Pavardė1360 2 2 5 7 8 3 1 3 10 4 10
Vardas1361 Pavardė1361 6 7 5 7 2 3 4 5 2 4 1
Vardas1362 Pavardė1362 4 7 2 2 2 5 1 3 5 9 4
Vardas1363 Pavardė1363 3 8 1 5 2 5 2 3 5 3 5
Vardas1364 Pavardė1364 10 8 8 1 1 9 9 5 8 9 2
Vardas1365 Pavardė1365 10 6 7 8 4 9 3 6 7 9 1
Vardas1366 Pavardė1366 6 3 2 5 2 1 7 6 6 1 8
Vardas1367 Pavardė1367 6 4 8 7 9 9 1 3 5 10 2
Vardas1368 Pavardė1368 7 5 9 6 3 4 6 8 9 2 7
Vardas1369 Pavardė1369 3 7 4 7 9 8 1 5 4 1 5
Vardas1370 Pavardė1370 1 5 10 10 10 10 9 4 6 4 5
Vardas1371 Pavardė1371 3 1 1 8 2 8 4 7 9 2 4
Vardas1372 Pavardė1372 9 3 1 8 6 8 10 8 10 10 5
Vardas1373 Pavardė1373 8 4 1 7 2 8 9 7 3 3 4
Vardas1374 Pavardė1374 3 6 6 5 7 7 5 6 10 5 3
Vardas1375 Pavardė1375 1 1 5 5 1 4 9 5 6 9 4
Vardas1376 Pavardė1376 8 1 8 6 2 10 2 9 6 6 7
Vardas1377 Pavardė1377 6 7 2 3 8 7 9 3 4 9 8
Vardas1378 Pavardė1378 5 5 6 5 2 1 6 3 1 6 8
Vardas1379 Pavardė1379 2 2 5 9 3 10 3 10 3 9 1
Vardas1380 Pavardė1380 9 5 8 4 1 1 6 10 7 10 4
Vardas1381 Pavardė1381 4 2 7 9 8 3 1 8 9 6 5
Vardas1382 Pavardė1382 1 4 1 2 10 10 4 4 5 4 2
Vardas1383 Pavardė1383 8 1 4 5 7 7 6 1 1 9 1
Vardas1384 Pavardė1384 3 5 8 6 8 3 5 7 8 5 1
Vardas1385 Pavardė1385 1 8 5 7 10 6 5 2 10 6 6
Vardas1386 Pavardė1386 10 5 1 6 1 6 1 6 7 7 6
Vardas1387 Pavardė1387 5 1 7 2 5 3 2 6 7 8 10
Vardas1388 Pavardė1388 8 10 8 10 7 2 6 7 9 3 4
Vardas1389 Pavardė1389 3 7 10 4 7 6 10 5 6 7 3
Vardas1390 Pavardė1390 6 3 9 3 1 9 7 1 5 10 3
Vardas1391 Pavardė1391 5 5 4 3 2 5 5 2 4 9 6
Vardas1392 Pavardė1392 9 5 9 10 8 7 2 4 10 8 6
Vardas1393 Pavardė1393 5 4 4 9 7 3 8 6 2 6 5
Vardas1394 Pavardė1394 7 1 3 5 9 8 3 9 5 1 10
Vardas1395 Pavardė1395 1 9 7 8 3 3 6 7 5 1 10
Vardas1396 Pavardė1396 7 8 4 1 5 2 4 4 9 3 1
Vardas1397 Pavardė1397 6 6 7 7 2 10 6 1 3 6 2
Vardas1398 Pavardė1398 9 5 4 6 3 9 10 7 8 5 5
Vardas1399 Pavardė1399 2 2 7 2 9 1 7 10 2 2 3
Vardas1400 Pavardė1400 8 5 7 7 1 6 8 2 5 5 6
Vardas1401 Pavardė1401 2 9 8 5 4 7 7 2 10 10 8
Vardas1402 Pavardė1402 5 1 4 8 6 8 1 6 9 7 8
Vardas1403 Pavardė1403 1 6 7 10 5 2 9 5 10 3 1
Vardas1404 Pavardė1404 5 8 3 3 3 8 2 7 2 10 10
Vardas1405 Pavardė1405 9 3 7 4 3 6 1 5 4 6 10
Vardas1406 Pavardė1406 8 4 9 8 9 5 8 3 1 5 9
Vardas1407 Pavardė1407 3 8 5 8 7 3 7 5 3 8 3
Vardas1408 Pavardė1408 5 10 6 7 3 8 7 7 7 6 2
Vardas1409 Pavardė1409 6 8 5 2 4 6 10 4 10 1 1
Vardas1410 Pavardė1410 5 7 3 3 1 5 4 3 9 1 2
Vardas1411 Pavardė1411 2 7 9 4 4 4 3 9 3 7 7
Vardas1412 Pavardė1412 2 2 9 9 3 2 3 9 6 8 7
Vardas1413 Pavardė1413 1 7 7 7 6 7 10 5 2 6 5
Vardas1414 Pavardė1414 10 7 2 4 3 4 2 4 8 5 8
Vardas1415 Pavardė1415 4 9 1 6 9 3 2 6 1 9 4
Vardas1416 Pavardė1416 6 9 3 10 1 5 1 1 3 1 4
Vardas1417 Pavardė1417 10 3 4 10 7 10 1 10 10 4 3
Vardas1418 Pavardė1418 3 2 8 5 1 8 8 10 8 10 4
Vardas1419 Pavardė1419 9 3 1 7 10 4 1 4 9 9 10
Vardas1420 Pavardė1420 1 6 10 1 3 10 10 9 3 7 6
Vardas1421 Pavardė1421 7 1 5 10 2 6 1 1 2 8 5
Vardas1422 Pavardė1422 4 5 3 3 6 4 9 9 6 2 6
Vardas1423 Pavardė1423 2 10 2 7 4 9 5 3 2 7 10
Vardas1424 Pavardė1424 4 2 3 6 4 5 4 10 3 2 3
Vardas1425 Pavardė1425 6 7 9 4 9 4 6 3 5 6 2
Vardas1426 Pavardė1426 1 9 8 5 9 3 4 7 10 8 1
Vardas1427 Pavardė1427 2 5 7 8 10 4 5 3 9 1 10
Vardas1428 Pavardė1428 9 5 6 10 3 6 6 7 5 9 6
Vardas1429 Pavardė1429 9 5 3 7 7 6 3 2 8 10 3
Vardas1430 Pavardė1430 8 8 2 5 3 2 7 6 9 7 9
Vardas1431 Pavardė1431 9 2 4 2 7 3 3 3 4 5 4
Vardas1432 Pavardė1432 6 9 10 1 10 8 3 8 1 4 3
Vardas1433 Pavardė1433 9 1 2 9 3 7 9 7 7 2 7
Vardas1434 Pavardė1434 4 2 9 10 8 9 4 10 3 3 3
Vardas1435 Pavardė1435 6 3 8 8 6 10 7 7 9 7 5
Vardas1436 Pavardė1436 4 5 9 3 9 8 5 6 5 5 8
Vardas1437 Pavardė1437 6 6 5 6 2 6 8 4 2 8 8
Vardas1438 Pavardė1438 3 3 5 10 3 7 8 6 3 1 5
Vardas1439 Pavardė1439 1 10 1 7 4 2 9 4 5 9 3
Vardas1440 Pavardė1440 2 6 2 7 6 2 1 2 5 5 5
Vardas1441 Pavardė1441 2 1 8 3 1 1 9 5 1 7 8
Vardas1442 Pavardė1442 8 4 1 10 2 9 8 9 9 7 9
Vardas1443 Pavardė1443 8 7 7 10 8 2 8 10 1 4 2
Vardas1444 Pavardė1444 1 4 1 6 2 7 5 1 2 5 7
Vardas1445 Pavardė1445 6 7 3 8 7 1 3 1 5 2 2
Vardas1446 Pavardė1446 3 8 4 4 2 4 1 8 10 2 5
Vardas1447 Pavardė1447 3 6 3 8 5 5 4 2 6 4 3
Vardas1448 Pavardė1448 7 2 1 9 9 9 6 4 10 2 1
Vardas1449 Pavardė1449 10 4 9 6 5 6 2 4 2 7 7
Vardas1450 Pavardė1450 3 6 7 3 3 3 7 1 7 4 1
Vardas1451 Pavardė1451 4 4 1 10 1 2 6 7 8 2 1
Vardas1452 Pavardė1452 6 10 3 7 5 5 10 1 6 6 6
Vardas1453 Pavardė1453 7 3 5 2 1 3 1 3 8 10 10
Vardas1454 Pavardė1454 6 10 10 5 3 8 3 8 1 9 6
Vardas1455 Pavardė1455 1 2 1 1 3 7 2 7 3 6 7
Vardas1456 Pavardė1456 5 5 6 9 6 10 1 1 8 5 7
Vardas1457 Pavardė1457 7 1 4 3 5 9 8 1 8 2 10
Vardas1458 Pavardė1458 3 10 8 8 5 9 8 9 2 7 8
Vardas1459 Pavardė1459 4 6 1 5 10 2 10 2 6 6 9
Vardas1460 Pavardė1460 6 3 2 7 6 7 7 7 9 6 1
Vardas1461 Pavardė1461 8 8 8 9 3 4 6 3 10 8 7
Vardas1462 Pavardė1462 7 7 4 5 3 4 3 5 9 4 5
Vardas1463 Pavardė1463 8 5 9 10 4 4 3 9 9 10 8
Vardas1464 Pavardė1464 1 4 8 5 7 2 8 4 4 8 6
Vardas1465 Pavardė1465 6 10 4 5 5 6 10 3 8 3 5
Vardas1466 Pavardė1466 10 4 4 7 8 1 2 3 2 7 3
Vardas1467 Pavardė1467 3 8 7 3 5 6 8 8 9 6 1
Vardas1468 Pavardė1468 2 4 3 10 8 5 8 5 9 9 8
Vardas1469 Pavardė1469 2 6 10 2 9 4 6 6 3 5 5
Vardas1470 Pavardė1470 4 5 10 1 4 5 8 10 2 8 4
Vardas1471 Pavardė1471 5 5 6 7 7 1 1 9 8 5 5
Vardas1472 Pavardė1472 4 7 3 3 5 9 7 9 6 10 10
Vardas1473 Pavardė1473 2 6 3 5 9 10 1 5 10 2 7
Vardas1474 Pavardė1474 6 5 4 9 3 10 3 6 5 4 8
Vardas1475 Pavardė1475 1 10 8 3 5 9 8 4 7 1 9
Vardas1476 Pavardė1476 9 4 6 8 10 7 1 4 10 10 2
Vardas1477 Pavardė1477 8 6 3 4 6 2 1 7 10 10 1
Vardas1478 Pavardė1478 4 9 8 6 2 10 8 2 9 1 7
Vardas1479 Pavardė1479 2 1 7 2 7 5 6 2 9 3 6
Vardas1480 Pavardė1480 9 1 5 3 9 10 4 2 2 1 8
Vardas1481 Pavardė1481 1 6 4 5 4 8 5 3 4 4 1
Vardas1482 Pavardė1482 1 3 2 3 1 5 3 7 6 5 8
Vardas1483 Pavardė1483 1 8 1 6 2 6 2 10 7 1 6
Vardas1484 Pavardė1484 1 1 1 4 8 10 6 2 6 3 1
Vardas1485 Pavardė1485 9 8 5 8 9 7 6 10 7 7 2
Vardas1486 Pavardė1486 2 5 2 3 9 3 9 5 9 3 2
Vardas1487 Pavardė1487 2 8 6 10 4 8 9 10 7 8 9
Vardas1488 Pavardė1488 3 8 4 5 8 4 9 9 2 3 9
Vardas1489 Pavardė1489 6 3 3 4 8 9 4 3 7 5 7
Vardas1490 Pavardė1490 3 10 2 8 6 10 2 4 5 9 1
Vardas1491 Pavardė1491 8 3 4 7 1 7 10 8 9 4 7
Vardas1492 Pavardė1492 7 8 9 3 5 6 7 4 6 2 3
Vardas1493 Pavardė1493 5 8 8 6 3 4 8 1 1 1 1
Vardas1494 Pavardė1494 7 8 4 2 9 7 7 9 6 4 6
Vardas1495 Pavardė1495 9 7 7 4 3 10 9 9 10 5 9
Vardas1496 Pavardė1496 2 4 9 2 2 9 5 5 6 8 5
Vardas1497 Pavardė1497 8 5 5 9 6 8 4 2 1 10 3
Vardas1498 Pavardė1498 7 10 4 8 4 6 8 6 4 6 9
Vardas1499 Pavardė1499 4 1 10 8 5 1 9 10 3 7 9
Vardas1500 Pavardė1500 10 4 8 1 1 1 5 7 3 2 10
Vardas1501 Pavardė1501 9 1 4 2 1 7 2 2 1 5 7
Vardas1502 Pavardė1502 3 7 6 5 10 1 9 5 1 5 10
Vardas1503 Pavardė1503 10 6 4 3 9 1 9 3 2 1 1
Vardas1504 Pavardė1504 10 7 1 5 2 6 3 9 1 2 10
Vardas1505 Pavardė1505 2 10 5 2 3 8 4 7 10 5 4
Vardas1506 Pavardė1506 5 5 8 9 3 10 2 7 1 4 6
Vardas1507 Pavardė1507 5 1 6 4 1 2 4 6 1 7 10
Vardas1508 Pavardė1508 1 1 6 5 8 8 6 6 3 2 5
Vardas1509 Pavardė1509 10 10 1 5 4 1 4 3 4 1 5
Vardas1510 Pavardė1510 1 10 9 3 5 1 10 2 5 5 5
Vardas1511 Pavardė1511 6 2 10 1 6 9 6 9 6 2 5
Vardas1512 Pavardė1512 3 5 6 1 10 9 9 4 6 1 3
Vardas1513 Pavardė1513 3 3 8 9 1 7 7 5 6 6 1
Vardas1514 Pavardė1514 8 3 4 6 9 10 9 8 5 10 1
Vardas1515 Pavardė1515 1 10 7 9 6 6 5 7 7 8 6
Vardas1516 Pavardė1516 4 2 7 8 2 5 8 8 2 2 10
Vardas1517 Pavardė1517 9 5 8 9 10 1 1 7 1 7 10
Vardas1518 Pavardė1518 4 8 2 10 2 4 6 7 2 10 2
Vardas1519 Pavardė1519 10 2 3 10 10 4 4 9 1 3 8
Vardas1520 Pavardė1520 8 1 3 9 7 2 9 2 6 3 7
Vardas1521 Pavardė1521 10 3 1 9 2 9 8 2 3 9 1
Vardas1522 Pavardė1522 9 9 3 10 8 10 1 5 3 6 5
Vardas1523 Pavardė1523 9 1 6 9 4 3 1 2 2 1 3
Vardas1524 Pavardė1524 6 2 10 9 10 4 7 2 5 9 5
Vardas1525 Pavardė1525 6 6 8 1 6 8 6 2 8 2 10
Vardas1526 Pavardė1526 6 7 8 10 2 2 6 9 7 3 3
Vardas1527 Pavardė1527 7 2 9 3 1 10 8 6 4 7 4
Vardas1528 Pavardė1528 3 7 8 7 2 8 6 1 3 3 8
Vardas1529 Pavardė1529 6 1 8 9 6 6 6 3 2 1 6
Vardas1530 Pavardė1530 1 3 8 3 6 1 8 2 9 4 4
Vardas1531 Pavardė1531 7 4 8 2 1 2 10 1 2 4 10
Vardas1532 Pavardė1532 6 10 7 6 2 6 6 1 10 10 9
Vardas1533 Pavardė1533 8 8 10 9 6 8 2 4 7 5 4
Vardas1534 Pavardė1534 4 7 2 4 6 5 10 8 5 6 8
Vardas1535 Pavardė1535 5 3 5 6 1 10 5 4 7 1 1
Vardas1536 Pavardė1536 5 7 2 5 4 2 7 6 10 8 1
Vardas1537 Pavardė1537 7 9 10 6 7 5 1 4 3 9 4
Vardas1538 Pavardė1538 3 1 2 5 6 5 5 6 9 2 10
Vardas1539 Pavardė1539 9 5 5 8 10 7 8 7 3 10 1
Vardas1540 Pavardė1540 4 7 2 3 5 5 2 8 9 9 2
Vardas1541 Pavardė1541 4 8 1 7 5 9 7 2 7 6 7
Vardas1542 Pavardė1542 2 9 2 2 7 3 6 3 3 5 7
Vardas1543 Pavardė1543 9 1 7 8 1 1 7 10 2 8 1
Vardas1544 Pavardė1544 9 10 6 5 2 6 3 2 3 5 10
Vardas1545 Pavardė1545 5 8 4 6 3 6 4 7 2 2 8
Vardas1546 Pavardė1546 3 6 6 3 8 6 8 4 9 5 5
Vardas1547 Pavardė1547 2 10 6 4 2 1 5 7 3 8 4
Vardas1548 Pavardė1548 2 1 5 5 9 4 4 3 4 3 9
Vardas1549 Pavardė1549 4 9 4 3 2 1 7 10 6 3 5
Vardas1550 Pavardė1550 3 3 5 9 1 2 3 8 5 1 2
Vardas1551 Pavardė1551 4 7 2 1 5 4 4 7 10 1 7
Vardas1552 Pavardė1552 5 6 1 6 2 3 8 7 10 8 10
Vardas1553 Pavardė1553 1 7 3 6 4 6 10 10 10 5 10
Vardas1554 Pavardė1554 8 2 2 7 4 4 10 7 8 8 7
Vardas1555 Pavardė1555 3 4 9 3 5 6 1 4 5 9 3
Vardas1556 Pavardė1556 3 5 7 10 8 5 5 3 1 3 5
Vardas1557 Pavardė1557 2 4 5 3 2 1 3 9 1 3 10
Vardas1558 Pavardė1558 9 9 3 7 9 6 3 10 9 9 5
Vardas1559 Pavardė1559 6 4 3 8 6 8 7 2 3 10 3
Vardas1560 Pavardė1560 1 8 5 2 1 5 1 8 7 9 1
Vardas1561 Pavardė1561 2 7 1 7 3 4 1 4 3 4 1
Vardas1562 Pavardė1562 10 3 8 9 10 6 10 2 5 9 7
Vardas1563 Pavardė1563 8 5 4 2 3 9 1 6 8 6 2
Vardas1564 Pavardė1564 5 2 2 5 2 9 7 8 5 4 8
Vardas1565 Pavardė1565 9 8 5 9 6 9 7 3 9 9 3
Vardas1566 Pavardė1566 7 5 6 5 2 7 6 10 10 7 5
Vardas1567 Pavardė1567 4 5 8 9 5 5 1 9 1 1 1
Vardas1568 Pavardė1568 10 6 4 7 7 5 7 4 10 10 6
Vardas1569 Pavardė1569 8 3 10 1 1 7 10 4 1 3 8
Vardas1570 Pavardė1570 6 1 6 5 10 6 5 4 2 8 4
Vardas1571 Pavardė1571 10 8 6 2 4 9 2 8 3 6 8
Vardas1572 Pavardė1572 5 10 6 5 5 5 10 2 7 6 4
Vardas1573 Pavardė1573 2 7 5 1 1 7 5 10 5 2 6
Vardas1574 Pavardė1574 1 5 2 10 8 1 8 2 4 4 3
Vardas1575 Pavardė1575 1 2 4 3 7 5 10 10 4 6 2
Vardas1576 Pavardė1576 2 3 4 5 10 3 6 2 2 10 3
Vardas1577 Pavardė1577 7 5 1 6 10 6 3 5 4 5 7
Vardas1578 Pavardė1578 8 3 7 6 4 1 8 5 7 2 9
Vardas1579 Pavardė1579 2 6 2 7 6 9 8 6 9 1 9
Vardas1580 Pavardė1580 10 4 10 10 2 3 5 6 4 3 1
Vardas1581 Pavardė1581 2 7 8 8 4 9 7 6 8 8 8
Vardas1582 Pavardė1582 5 4 8 4 8 7 5 7 3 10 5
Vardas1583 Pavardė1583 10 10 4 4 1 4 3 3 6 2 4
Vardas1584 Pavardė1584 2 9 10 10 5 4 7 7 5 1 4
Vardas1585 Pavardė1585 1 10 1 9 4 7 4 8 2 10 3
Vardas1586 Pavardė1586 1 1 10 5 1 6 6 4 10 1 8
Vardas1587 Pavardė1587 4 1 4 4 5 1 8 10 4 4 2
Vardas1588 Pavardė1588 5 10 9 8 4 3 7 1 7 7 10
Vardas1589 Pavardė1589 7 9 5 10 7 1 9 6 4 5 6
Vardas1590 Pavardė1590 2 8 4 1 4 9 7 4 6 4 3
Vardas1591 Pavardė1591 9 3 1 6 8 1 6 10 8 10 6
Vardas1592 Pavardė1592 9 7 10 9 2 1 2 2 3 6 2
Vardas1593 Pavardė1593 6 3 8 7 10 1 1 5 7 1 6
