Vardas Pavardė ND1 ND2 ND3 ND4 ND5 Egz.
Vardas558 Pavardė558 4 3 3 9 7 6
Vardas559 Pavardė559 10 4 9 6 3 6
Vardas560 Pavardė560 7 7 1 3 7 3
Vardas561 Pavardė561 7 5 8 10 9 9
Vardas562 Pavardė562 4 3 7 7 5 8
Vardas563 Pavardė563 1 6 5 7 1 8
Vardas564 Pavardė564 4 5 9 1 6 8
Vardas565 Pavardė565 10 4 1 2 6 9
Vardas566 Pavardė566 8 4 9 7 6 10
Vardas567 Pavardė567 2 8 2 6 5 2
Vardas568 Pavardė568 8 6 9 2 7 8
Vardas569 Pavardė569 4 8 6 8 5 3
Vardas570 Pavardė570 5 10 4 9 2 9
Vardas571 Pavardė571 9 8 4 4 5 6
Vardas572 Pavardė572 2 10 8 2 6 3
Vardas573 Pavardė573 2 4 9 3 4 8
Vardas574 Pavardė574 5 7 6 9 9 7
Vardas575 Pavardė575 9 6 8 9 8 7
Vardas576 Pavardė576 9 6 9 2 3 6
Vardas577 Pavardė577 1 4 2 1 8 9
Vardas578 Pavardė578 8 2 6 4 10 2
Vardas579 Pavardė579 6 4 9 3 9 9
Vardas580 Pavardė580 3 5 1 1 1 3
Vardas581 Pavardė581 9 5 10 7 8 10
Vardas582 Pavardė582 9 9 5 5 10 7
Vardas583 Pavardė583 6 3 2 5 6 8
Vardas584 Pavardė584 5 2 1 2 7 9
Vardas585 Pavardė585 9 2 10 2 9 8
Vardas586 Pavardė586 1 3 1 7 7 5
Vardas587 Pavardė587 1 6 9 6 4 1
Vardas588 Pavardė588 3 1 1 10 6 10
Vardas589 Pavardė589 3 8 10 10 3 8
Vardas590 Pavardė590 6 7 5 8 4 1
Vardas591 Pavardė591 10 3 4 7 8 3
Vardas592 Pavardė592 7 4 7 5 9 2
Vardas593 Pavardė593 1 3 8 1 7 10
Vardas594 Pavardė594 8 10 5 2 8 9
Vardas595 Pavardė595 2 4 8 8 5 1
Vardas596 Pavardė596 1 3 5 4 6 4
Vardas597 Pavardė597 5 1 4 7 2 4
Vardas598 Pavardė598 7 6 10 5 10 10
Vardas599 Pavardė599 2 3 5 7 6 8
Vardas600 Pavardė600 7 1 10 8 10 8
Vardas601 Pavardė601 5 2 5 6 6 5
Vardas602 Pavardė602 5 9 9 7 2 7
Vardas603 Pavardė603 7 7 6 3 10 8
Vardas604 Pavardė604 5 10 8 1 9 7
Vardas605 Pavardė605 3 8 1 3 1 10
Vardas606 Pavardė606 4 1 1 5 6 7
Vardas607 Pavardė607 4 7 4 1 7 9
Vardas608 Pavardė608 8 10 10 7 10 2
Vardas609 Pavardė609 2 10 9 2 6 8
Vardas610 Pavardė610 10 10 5 8 5 10
Vardas611 Pavardė611 1 1 8 10 2 10
Vardas612 Pavardė612 10 10 5 3 8 9
Vardas613 Pavardė613 5 5 10 10 6 2
Vardas614 Pavardė614 6 5 7 10 4 5
Vardas615 Pavardė615 2 5 8 9 1 6
Vardas616 Pavardė616 5 7 4 8 1 8
Vardas617 Pavardė617 1 7 6 4 2 1
Vardas618 Pavardė618 7 5 8 10 8 2
Vardas619 Pavardė619 2 7 6 7 3 6
Vardas620 Pavardė620 4 3 4 6 2 5
Vardas621 Pavardė621 7 7 8 7 9 7
Vardas622 Pavardė622 7 3 1 10 9 9
Vardas623 Pavardė623 10 8 5 4 3 2
Vardas624 Pavardė624 7 6 7 4 4 10
Vardas625 Pavardė625 8 6 6 8 9 10
Vardas626 Pavardė626 5 9 9 3 4 1
Vardas627 Pavardė627 5 3 3 5 4 3
Vardas628 Pavardė628 8 2 7 2 8 4
Vardas629 Pavardė629 10 8 5 9 3 10
Vardas630 Pavardė630 1 6 3 9 2 5
Vardas631 Pavardė631 2 6 7 10 1 3
Vardas632 Pavardė632 5 2 1 2 3 5
Vardas633 Pavardė633 6 10 3 2 4 3
Vardas634 Pavardė634 5 5 6 5 8 4
Vardas635 Pavardė635 6 2 5 7 5 1
Vardas636 Pavardė636 8 6 7 6 10 6
Vardas637 Pavardė637 9 8 2 9 7 10
Vardas638 Pavardė638 7 1 4 8 2 4
Vardas639 Pavardė639 6 5 5 4 3 9
Vardas640 Pavardė640 7 9 4 7 6 3
Vardas641 Pavardė641 1 1 4 8 1 10
Vardas642 Pavardė642 4 3 3 6 9 1
Vardas643 Pavardė643 5 1 10 8 1 9
Vardas644 Pavardė644 4 3 5 10 8 4
Vardas645 Pavardė645 6 8 3 6 7 4
Vardas646 Pavardė646 1 1 7 8 7 8
Vardas647 Pavardė647 1 9 2 8 1 5
Vardas648 Pavardė648 7 8 8 2 10 3
Vardas649 Pavardė649 9 8 6 5 6 3
Vardas650 Pavardė650 2 2 4 5 4 9
Vardas651 Pavardė651 9 9 4 10 1 6
Vardas652 Pavardė652 1 7 5 1 8 9
Vardas653 Pavardė653 3 2 6 7 1 5
Vardas654 Pavardė654 1 3 9 2 3 1
Vardas655 Pavardė655 4 10 1 7 1 9
Vardas656 Pavardė656 8 10 7 3 1 9
Vardas657 Pavardė657 9 8 10 8 8 7
Vardas658 Pavardė658 2 7 5 4 10 5
Vardas659 Pavardė659 1 5 7 9 8 9
Vardas660 Pavardė660 9 5 1 10 9 5
Vardas661 Pavardė661 7 8 2 8 10 10
Vardas662 Pavardė662 3 4 5 7 8 6
Vardas663 Pavardė663 6 7 7 9 2 1
Vardas664 Pavardė664 2 5 8 1 9 6
Vardas665 Pavardė665 8 9 6 10 8 6
Vardas666 Pavardė666 3 8 5 5 8 7
Vardas667 Pavardė667 9 7 4 8 3 2
Vardas668 Pavardė668 5 10 10 10 10 4
Vardas669 Pavardė669 3 10 8 4 6 5
Vardas670 Pavardė670 10 7 4 6 8 6
Vardas671 Pavardė671 1 4 10 5 4 6
Vardas672 Pavardė672 4 4 10 4 9 8
Vardas673 Pavardė673 9 10 10 1 7 8
Vardas674 Pavardė674 1 5 5 1 10 5
Vardas675 Pavardė675 3 9 8 4 5 8
Vardas676 Pavardė676 3 2 9 9 2 8
Vardas677 Pavardė677 3 1 2 5 9 8
Vardas678 Pavardė678 6 5 7 7 6 9
Vardas679 Pavardė679 7 7 4 3 6 6
Vardas680 Pavardė680 5 3 5 3 1 4
Vardas681 Pavardė681 3 4 3 7 1 6
Vardas682 Pavardė682 1 10 1 8 7 2
Vardas683 Pavardė683 7 2 3 4 9 4
Vardas684 Pavardė684 4 1 5 9 6 10
Vardas685 Pavardė685 10 7 9 6 8 9
Vardas686 Pavardė686 9 1 1 8 10 9
Vardas687 Pavardė687 3 2 10 2 8 1
Vardas688 Pavardė688 4 8 9 6 3 4
Vardas689 Pavardė689 6 5 6 4 9 4
Vardas690 Pavardė690 9 1 4 10 6 9
Vardas691 Pavardė691 10 7 1 1 6 8
Vardas692 Pavardė692 2 5 8 2 9 7
Vardas693 Pavardė693 10 2 1 10 2 7
Vardas694 Pavardė694 8 10 5 4 2 5
Vardas695 Pavardė695 6 7 9 6 7 1
Vardas696 Pavardė696 9 8 7 7 6 3
Vardas697 Pavardė697 6 3 7 1 2 6
Vardas698 Pavardė698 2 2 8 5 2 2
Vardas699 Pavardė699 1 9 9 6 5 2
Vardas700 Pavardė700 5 1 9 2 10 3
Vardas701 Pavardė701 10 1 1 5 1 4
Vardas702 Pavardė702 8 2 3 6 4 2
Vardas703 Pavardė703 10 7 10 1 7 7
Vardas704 Pavardė704 5 6 10 1 2 7
Vardas705 Pavardė705 4 6 1 5 9 4
Vardas706 Pavardė706 9 3 5 2 2 7
Vardas707 Pavardė707 1 6 3 6 4 8
Vardas708 Pavardė708 6 2 3 5 9 5
Vardas709 Pavardė709 4 6 3 9 1 9
Vardas710 Pavardė710 9 4 10 9 8 2
Vardas711 Pavardė711 6 4 1 9 3 3
Vardas712 Pavardė712 4 1 10 1 7 7
Vardas713 Pavardė713 6 2 8 4 3 4
Vardas714 Pavardė714 10 6 1 1 8 9
Vardas715 Pavardė715 7 8 1 10 6 10
Vardas716 Pavardė716 3 3 4 10 10 8
Vardas717 Pavardė717 1 3 9 5 9 1
Vardas718 Pavardė718 5 2 10 2 10 3
Vardas719 Pavardė719 7 10 9 10 10 1
Vardas720 Pavardė720 4 9 1 7 6 8
Vardas721 Pavardė721 3 5 8 1 1 6
Vardas722 Pavardė722 8 9 3 6 1 1
Vardas723 Pavardė723 6 10 5 3 8 10
Vardas724 Pavardė724 10 6 4 9 8 2
Vardas725 Pavardė725 3 2 10 6 1 1
Vardas726 Pavardė726 6 3 4 8 6 8
Vardas727 Pavardė727 7 8 7 10 4 8
Vardas728 Pavardė728 8 6 9 2 1 1
Vardas729 Pavardė729 10 10 7 6 5 1
Vardas730 Pavardė730 2 5 4 8 2 1
Vardas731 Pavardė731 2 1 4 8 3 10
Vardas732 Pavardė732 3 1 4 8 6 4
Vardas733 Pavardė733 4 7 8 4 3 3
Vardas734 Pavardė734 4 8 10 7 10 1
Vardas735 Pavardė735 2 6 5 2 9 2
Vardas736 Pavardė736 9 3 2 1 8 1
Vardas737 Pavardė737 8 3 3 1 8 9
Vardas738 Pavardė738 1 2 1 1 2 4
Vardas739 Pavardė739 1 1 9 4 4 7
Vardas740 Pavardė740 2 2 3 5 5 8
Vardas741 Pavardė741 9 9 10 5 2 4
Vardas742 Pavardė742 2 9 3 1 9 5
Vardas743 Pavardė743 5 5 10 3 2 3
Vardas744 Pavardė744 5 2 1 3 4 9
Vardas745 Pavardė745 2 10 9 3 9 10
Vardas746 Pavardė746 5 3 9 5 4 8
Vardas747 Pavardė747 5 10 9 6 8 6
Vardas748 Pavardė748 9 10 1 9 2 3
Vardas749 Pavardė749 3 1 8 6 4 3
Vardas750 Pavardė750 7 1 8 4 1 5
Vardas751 Pavardė751 1 8 1 7 10 5
Vardas752 Pavardė752 9 4 1 2 9 1
Vardas753 Pavardė753 1 10 7 6 5 1
Vardas754 Pavardė754 5 6 4 3 9 6
Vardas755 Pavardė755 1 9 7 5 8 1
Vardas756 Pavardė756 2 10 5 4 7 2
Vardas757 Pavardė757 4 3 5 10 9 4
Vardas758 Pavardė758 3 6 10 7 8 2
Vardas759 Pavardė759 8 4 6 2 5 9
Vardas760 Pavardė760 1 10 2 9 2 2
Vardas761 Pavardė761 6 4 10 3 10 6
Vardas762 Pavardė762 2 3 4 9 2 5
Vardas763 Pavardė763 10 10 1 5 9 5
Vardas764 Pavardė764 9 6 6 8 6 9
Vardas765 Pavardė765 5 10 8 7 4 5
Vardas766 Pavardė766 2 4 8 9 7 1
Vardas767 Pavardė767 5 6 1 2 8 3
Vardas768 Pavardė768 10 4 1 4 9 10
Vardas769 Pavardė769 10 1 7 1 6 4
Vardas770 Pavardė770 4 4 1 3 6 2
Vardas771 Pavardė771 10 5 7 8 4 9
Vardas772 Pavardė772 7 4 6 10 4 1
Vardas773 Pavardė773 9 7 1 10 10 5
Vardas774 Pavardė774 4 4 4 5 8 9
Vardas775 Pavardė775 7 2 10 9 1 7
Vardas776 Pavardė776 2 4 4 9 2 4
Vardas777 Pavardė777 2 4 6 5 10 6
Vardas778 Pavardė778 3 2 4 3 3 10
Vardas779 Pavardė779 7 3 2 5 8 5
Vardas780 Pavardė780 8 3 3 5 10 7
Vardas781 Pavardė781 2 3 8 7 3 6
Vardas782 Pavardė782 3 8 1 5 4 4
Vardas783 Pavardė783 4 5 10 5 7 9
Vardas784 Pavardė784 7 5 7 6 2 7
Vardas785 Pavardė785 9 9 5 10 1 3
Vardas786 Pavardė786 8 1 9 5 6 4
Vardas787 Pavardė787 8 6 6 1 6 10
Vardas788 Pavardė788 6 4 10 3 1 5
Vardas789 Pavardė789 1 5 4 4 5 1
Vardas790 Pavardė790 10 5 1 7 7 3
Vardas791 Pavardė791 5 5 4 8 2 7
Vardas792 Pavardė792 6 10 1 4 6 4
Vardas793 Pavardė793 5 1 1 1 6 6
Vardas794 Pavardė794 4 6 6 4 10 4
Vardas795 Pavardė795 3 8 8 9 4 7
Vardas796 Pavardė796 3 9 4 5 10 5
Vardas797 Pavardė797 4 8 9 4 1 4
Vardas798 Pavardė798 6 5 5 4 6 2
Vardas799 Pavardė799 9 6 7 1 3 4
Vardas800 Pavardė800 1 3 4 4 9 4
Vardas801 Pavardė801 7 3 9 8 5 9
Vardas802 Pavardė802 2 5 5 10 10 1
Vardas803 Pavardė803 2 3 6 7 1 6
Vardas804 Pavardė804 1 10 8 3 10 9
Vardas805 Pavardė805 7 5 4 6 1 6
Vardas806 Pavardė806 7 9 9 7 7 3
Vardas807 Pavardė807 10 1 6 9 10 9
Vardas808 Pavardė808 9 9 9 7 2 2
Vardas809 Pavardė809 7 9 4 6 8 5
Vardas810 Pavardė810 1 2 10 1 9 8
Vardas811 Pavardė811 10 5 10 6 5 9
Vardas812 Pavardė812 1 3 6 3 2 4
Vardas813 Pavardė813 6 9 10 7 5 9
Vardas814 Pavardė814 9 2 10 4 2 7
Vardas815 Pavardė815 6 10 10 8 9 4
Vardas816 Pavardė816 8 2 6 6 5 2
Vardas817 Pavardė817 3 10 4 3 8 7
Vardas818 Pavardė818 5 7 5 8 5 3
Vardas819 Pavardė819 8 5 5 2 8 4
Vardas820 Pavardė820 8 7 8 2 6 7
Vardas821 Pavardė821 9 10 8 1 2 3
Vardas822 Pavardė822 4 5 9 4 4 4
Vardas823 Pavardė823 10 1 2 2 6 5
Vardas824 Pavardė824 7 8 7 2 8 7
Vardas825 Pavardė825 4 7 9 3 8 7
Vardas826 Pavardė826 10 3 10 9 9 9
Vardas827 Pavardė827 2 1 7 4 9 5
Vardas828 Pavardė828 1 1 1 4 2 6
Vardas829 Pavardė829 6 9 2 6 6 2
Vardas830 Pavardė830 5 8 5 9 7 1
Vardas831 Pavardė831 3 4 2 7 9 8
Vardas832 Pavardė832 5 4 7 4 1 5
Vardas833 Pavardė833 9 1 6 5 2 10
Vardas834 Pavardė834 1 10 7 4 2 2
Vardas835 Pavardė835 2 10 4 6 3 2
Vardas836 Pavardė836 8 8 8 1 4 3
Vardas837 Pavardė837 5 7 1 1 5 8
Vardas838 Pavardė838 1 1 5 10 6 9
Vardas839 Pavardė839 7 5 9 7 5 3
Vardas840 Pavardė840 10 3 8 4 5 7
Vardas841 Pavardė841 5 6 8 4 1 2
Vardas842 Pavardė842 3 6 2 6 3 4
Vardas843 Pavardė843 9 1 7 1 7 1
Vardas844 Pavardė844 7 4 10 7 3 8
Vardas845 Pavardė845 7 10 5 1 2 4
Vardas846 Pavardė846 3 3 8 5 7 8
Vardas847 Pavardė847 1 5 5 6 6 1
Vardas848 Pavardė848 2 4 8 1 1 2
Vardas849 Pavardė849 3 5 7 6 8 4
Vardas850 Pavardė850 5 9 4 3 7 9
Vardas851 Pavardė851 3 10 10 5 2 3
Vardas852 Pavardė852 3 7 9 2 8 3
Vardas853 Pavardė853 8 6 8 6 10 2
Vardas854 Pavardė854 3 3 3 6 7 6
Vardas855 Pavardė855 4 6 1 1 5 2
Vardas856 Pavardė856 4 9 10 2 5 7
Vardas857 Pavardė857 2 9 10 3 7 3
Vardas858 Pavardė858 8 10 9 9 1 1
Vardas859 Pavardė859 2 6 5 1 10 9
Vardas860 Pavardė860 9 9 3 5 10 10
Vardas861 Pavardė861 3 3 9 2 1 5
Vardas862 Pavardė862 8 10 4 3 8 9
Vardas863 Pavardė863 6 8 10 6 4 4
Vardas864 Pavardė864 2 10 4 5 9 1
Vardas865 Pavardė865 9 8 7 4 3 5
Vardas866 Pavardė866 5 1 8 10 4 8
Vardas867 Pavardė867 1 2 7 9 1 5
Vardas868 Pavardė868 1 3 7 4 5 7
Vardas869 Pavardė869 2 7 1 10 3 7
Vardas870 Pavardė870 1 9 1 3 2 6
Vardas871 Pavardė871 4 1 4 2 10 4
Vardas872 Pavardė872 7 6 5 3 5 5
Vardas873 Pavardė873 8 7 2 10 2 7
Vardas874 Pavardė874 9 1 9 4 9 3
Vardas875 Pavardė875 2 9 10 4 2 10
Vardas876 Pavardė876 6 6 2 7 9 8
Vardas877 Pavardė877 8 1 2 5 9 3
Vardas878 Pavardė878 10 7 7 7 2 4
Vardas879 Pavardė879 9 2 10 9 3 10
Vardas880 Pavardė880 2 2 4 1 1 7
Vardas881 Pavardė881 10 3 1 5 10 4
Vardas882 Pavardė882 10 6 1 6 8 10
Vardas883 Pavardė883 5 4 4 9 1 3
Vardas884 Pavardė884 6 6 1 9 8 7
Vardas885 Pavardė885 7 9 6 1 7 1
Vardas886 Pavardė886 5 1 10 10 4 8
Vardas887 Pavardė887 2 1 9 6 7 10
Vardas888 Pavardė888 10 10 8 6 8 6
Vardas889 Pavardė889 4 9 4 3 3 9
Vardas890 Pavardė890 8 10 2 7 6 7
Vardas891 Pavardė891 3 1 10 5 5 9
Vardas892 Pavardė892 5 2 6 8 5 7
Vardas893 Pavardė893 1 7 8 8 3 1
Vardas894 Pavardė894 3 8 7 2 4 2
Vardas895 Pavardė895 6 3 3 5 6 10
Vardas896 Pavardė896 4 4 2 9 6 2
Vardas897 Pavardė897 2 5 9 7 8 9
Vardas898 Pavardė898 1 7 8 1 6 1
Vardas899 Pavardė899 1 7 1 2 9 2
Vardas900 Pavardė900 5 4 9 7 1 3
Vardas901 Pavardė901 10 10 6 7 10 5
Vardas902 Pavardė902 2 7 9 2 10 10
Vardas903 Pavardė903 5 7 9 9 6 2
Vardas904 Pavardė904 8 9 1 6 6 4
Vardas905 Pavardė905 7 6 6 3 6 2
Vardas906 Pavardė906 4 3 5 5 10 5
Vardas907 Pavardė907 9 7 7 3 2 9
Vardas908 Pavardė908 4 4 1 9 3 3
Vardas909 Pavardė909 8 8 3 7 1 7
Vardas910 Pavardė910 8 7 3 1 10 10
Vardas911 Pavardė911 5 8 6 4 3 9
Vardas912 Pavardė912 3 8 6 6 4 3
Vardas913 Pavardė913 7 1 4 4 4 3
Vardas914 Pavardė914 4 10 7 2 10 8
Vardas915 Pavardė915 7 10 3 10 1 5
Vardas916 Pavardė916 3 9 5 9 4 7
Vardas917 Pavardė917 8 5 6 9 10 10
Vardas918 Pavardė918 1 7 2 2 6 9
Vardas919 Pavardė919 6 6 6 5 7 10
Vardas920 Pavardė920 1 7 2 4 8 1
Vardas921 Pavardė921 3 6 7 3 9 2
Vardas922 Pavardė922 4 4 5 9 7 2
Vardas923 Pavardė923 4 9 6 6 7 4
Vardas924 Pavardė924 6 5 2 2 9 1
Vardas925 Pavardė925 1 1 10 9 7 2
Vardas926 Pavardė926 2 7 1 10 2 10
Vardas927 Pavardė927 3 1 2 6 4 5
Vardas928 Pavardė928 6 6 8 9 7 1
Vardas929 Pavardė929 8 2 7 5 5 9
Vardas930 Pavardė930 2 9 9 7 1 1
Vardas931 Pavardė931 10 8 7 6 7 3
Vardas932 Pavardė932 10 3 4 6 3 7
Vardas933 Pavardė933 5 5 3 1 6 2
Vardas934 Pavardė934 8 7 1 9 9 7
Vardas935 Pavardė935 8 3 5 8 10 7
Vardas936 Pavardė936 10 10 8 6 7 1
Vardas937 Pavardė937 2 8 9 7 3 3
Vardas938 Pavardė938 1 9 2 5 7 8
Vardas939 Pavardė939 5 6 7 3 6 1
Vardas940 Pavardė940 4 10 3 8 4 1
Vardas941 Pavardė941 9 7 10 4 4 4
Vardas942 Pavardė942 4 10 7 5 7 4
Vardas943 Pavardė943 6 6 9 7 2 3
Vardas944 Pavardė944 7 2 10 7 10 7
Vardas945 Pavardė945 6 9 3 10 4 4
Vardas946 Pavardė946 10 6 8 10 10 10
Vardas947 Pavardė947 4 2 7 2 1 6
Vardas948 Pavardė948 6 7 8 6 1 10
Vardas949 Pavardė949 3 5 9 10 4 3
Vardas950 Pavardė950 5 6 8 1 1 8
Vardas951 Pavardė951 10 6 5 10 8 4
Vardas952 Pavardė952 4 9 3 9 7 4
Vardas953 Pavardė953 10 2 10 4 6 9
Vardas954 Pavardė954 5 8 2 9 9 5
Vardas955 Pavardė955 1 10 10 8 7 3
Vardas956 Pavardė956 4 3 10 4 6 10
Vardas957 Pavardė957 1 4 8 10 1 5
Vardas958 Pavardė958 2 5 1 8 2 10
Vardas959 Pavardė959 6 8 6 7 2 1
Vardas960 Pavardė960 9 3 6 5 9 4
Vardas961 Pavardė961 7 3 2 4 10 1
Vardas962 Pavardė962 5 3 2 2 7 2
Vardas963 Pavardė963 5 4 6 8 6 1
Vardas964 Pavardė964 1 1 2 3 8 10
Vardas965 Pavardė965 2 2 2 3 10 6
Vardas966 Pavardė966 8 4 10 5 2 2
Vardas967 Pavardė967 7 10 4 2 4 9
Vardas968 Pavardė968 1 10 8 9 7 1
Vardas969 Pavardė969 3 6 4 6 3 1
Vardas970 Pavardė970 2 3 10 4 10 1
Vardas971 Pavardė971 7 5 9 9 5 9
Vardas972 Pavardė972 2 5 8 5 10 6
Vardas973 Pavardė973 1 7 6 3 10 10
Vardas974 Pavardė974 6 3 4 3 1 2
Vardas975 Pavardė975 6 4 4 1 4 5
Vardas976 Pavardė976 5 3 8 2 3 10
Vardas977 Pavardė977 9 10 2 8 5 2
Vardas978 Pavardė978 1 2 6 8 7 4
Vardas979 Pavardė979 10 5 7 4 2 2
Vardas980 Pavardė980 8 4 8 2 8 9
Vardas981 Pavardė981 10 3 8 4 5 3
Vardas982 Pavardė982 7 10 4 2 10 8
Vardas983 Pavardė983 5 9 2 8 2 2
Vardas984 Pavardė984 4 10 7 8 10 9
Vardas985 Pavardė985 1 9 8 1 6 9
Vardas986 Pavardė986 7 4 4 4 4 7
Vardas987 Pavardė987 4 10 7 6 9 2
Vardas988 Pavardė988 3 8 5 6 9 9
Vardas989 Pavardė989 9 5 6 1 3 4
Vardas990 Pavardė990 6 4 3 9 8 5
Vardas991 Pavardė991 4 4 7 5 2 2
Vardas992 Pavardė992 5 6 4 3 3 6
Vardas993 Pavardė993 9 3 3 4 3 4
Vardas994 Pavardė994 2 3 8 5 9 4
Vardas995 Pavardė995 10 7 1 8 9 6
Vardas996 Pavardė996 7 9 10 7 4 7
Vardas997 Pavardė997 8 9 3 3 9 9
Vardas998 Pavardė998 4 7 7 7 10 8
Vardas999 Pavardė999 6 4 8 4 2 2
Vardas1000 Pavardė1000 3 4 4 7 4 10
